claim_id,V9_2_section,V9_2_claim,required_dataset,available_dataset,raw_or_summary,analysis_script,reproduced_value,V9_2_value,difference,V10_action,status
C01,Methods/deployment,61-day field deployment,sensor_transactions.csv,sensor_transactions.csv,raw,build_phase1_4_reports.py,61 days (2025-08-01T00:00:00+01:00 to 2025-09-30T23:30:00+01:00),61 days,0,keep,reproduced_exactly
C02,Methods/deployment,50 sensors / 4 gateways / 4 zones,raw_field_topology.csv,raw_field_topology.csv,raw,build_phase1_4_reports.py,"50 sensors / 4 gateways / 5 zones, non-uniform gateway load {'GW01': 19, 'GW02': 10, 'GW03': 11, 'GW04': 10}",50 / 4 / 4,zones: real=5 vs claimed=4; gateway load non-uniform (GW01=19 vs ~10 for others),"correct topology description in V10 (5 zones, uneven GW01 load)",changed
C03,Results/authorization,"209,000 authorization decisions",authorization_decisions.csv,authorization_decisions.csv,raw,build_phase1_4_reports.py,209000 (204140 allowed / 4860 denied),209000,0,keep,reproduced_exactly
C04,Results/sensors,"146,400 sensor-write transactions",sensor_transactions.csv,sensor_transactions.csv,raw,build_phase1_4_reports.py,146400,146400,0,keep,reproduced_exactly_but_see_C05_C16_integrity_caveat
C05,Results/authorization,authorization decisions cover every sensor write (linked via tx_id),authorization_decisions.csv + sensor_transactions.csv,both present but not joinable,raw,build_phase1_4_reports.py,tx_id overlap = 0 of 146400,linked (209000 >= 146400 implied coverage),0% tx_id overlap: the two files cannot be joined on tx_id at all,"withdraw the ""decisions cover every write"" linkage claim; report the two counts independently, not as superset/subset",withdrawn
C06,Methods/peers,"32 peer-multiplicity runs, 8 per configuration",peer_scaling_runs.csv,peer_scaling_runs.csv,raw,build_phase1_4_reports.py,"32 runs, per-config counts {'4': 8, '8': 8, '16': 8, '32': 8}",32 (8x4),0,keep,reproduced_exactly
C07,Methods/peers,two complementary 4x4 Latin squares (counterbalanced order),peer_scaling_runs.csv start_timestamp order,peer_scaling_runs.csv,raw,build_phase1_4_reports.py,"run order is strictly sequential by configuration: 8x(peer=4), then 8x(peer=8), then 8x(peer=16), then 8x(peer=32) -- peer_count is fully confounded with time/order",counterbalanced Latin-square design,no counterbalancing found; peer_count and run order are the same variable in this data,withdraw the counterbalancing claim; drop the block+serial_position model term (no such design exists); report peer_count effect as confounded with a time trend and treat this as a primary limitation,withdrawn
C08,Methods/peers,campaign run on four Raspberry Pi hosts,peer_scaling_runs.csv host_id,peer_scaling_runs.csv,raw,build_phase1_4_reports.py,host_id values: ['bench-host-01'] (1 unique host),4 hosts,"1 host recorded, not 4",correct to single host in V10; external validity limitation,changed
C09,Methods/latency-decomposition,rbac_overhead_ms / recorded authorization-associated span field,sensor_transactions.csv or authorization_decisions.csv column,absent from both files,raw,build_phase1_4_reports.py,field present: False,~320ms reported metric,field does not exist in the analyst package,drop the recorded-authorization-associated-span decomposition entirely from V10; only total write latency is available,not_measurable
C10,Methods/throughput,100 throughput runs: 10 concurrency x 2 conditions x 5 runs,throughput_runs.csv,throughput_runs.csv,raw,build_phase1_4_reports.py,"100 runs, concurrency levels [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]",100 (10x2x5),0,keep,reproduced_exactly
